time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
58799350225210, Log, 0.000, 0.001, 0.000, 0.000,   5603,   8692,    802, 0, 0,0.006, 0,0,  9000,    698, 4017,    802,   1439,     0,     0, 0,  6790,  6790, 0, 0,0,0,0,14
58800351159463, Log, 0.000, 0.002, 0.000, 0.000,   5872,   7980,    840, 0, 0,0.006, 0,0,  9000,   1066, 4163,    840,   1467,     0,     0, 0,  6936,  6936, 0, 0,0,0,0,14
58801351703383, Log, 0.000, 0.001, 0.000, 0.002,   6304,  10132,    954, 0, 0,0.006, 0,0,  9000,    876, 4311,    954,   1799,     0,     0, 0,  7084,  7084, 0, 0,0,0,0,14
58802352090349, Log, 0.000, 0.001, 0.000, 0.001,   7454,   8790,    666, 0, 0,0.006, 0,0,  9000,    559, 4451,    666,   1112,     0,     0, 0,  7224,  7224, 0, 0,0,0,0,14
58803353112703, Log, 0.000, 0.001, 0.000, 0.000,   7837,   8630,   1066, 0, 0,0.008, 0,0,  9000,   1013, 4603,   1066,    674,     0,     0, 0,  7376,  7376, 0, 0,0,0,0,14
58804354112288, Log, 0.000, 0.001, 0.000, 0.000,   8026,   9011,    725, 0, 0,0.006, 0,0,  9000,    575, 4750,    725,   1060,     0,     0, 0,  7523,  7523, 0, 0,0,0,0,14
58805355116573, Log, 0.000, 0.001, 0.000, 0.000,   8131,   5485,    568, 0, 0,0.006, 0,0,  9000,    539, 4868,    568,   1279,     0,     0, 0,  7641,  7641, 0, 0,0,0,0,14
58806356095517, Log, 0.000, 0.001, 0.000, 0.000,   6477,   9550,    839, 0, 0,0.006, 0,0,  9000,    754, 5014,    839,   1521,     0,     0, 0,  7787,  7787, 0, 0,0,0,0,14
58807357126018, Log, 0.000, 0.001, 0.000, 0.000,   6691,  10803,    959, 0, 0,0.006, 0,0,  9000,    864, 5165,    959,   1757,     0,     0, 0,  7938,  7938, 0, 0,0,0,0,14
58808358086109, Log, 0.000, 0.001, 0.000, 0.001,   7817,  11297,    940, 0, 0,0.006, 0,0,  9000,    828, 5325,    940,   1571,     0,     0, 0,  8098,  8098, 0, 0,0,0,0,14
58809359067741, Log, 0.000, 0.001, 0.000, 0.000,   8368,   9665,    927, 0, 0,0.006, 0,0,  9000,    866, 5475,    927,   1675,     0,     0, 0,  8248,  8248, 0, 0,0,0,0,14
58810360082283, Log, 0.000, 0.001, 0.000, 0.000,   8586,   9863,    976, 0, 0,0.006, 0,0,  9000,    885, 5631,    976,   1786,     0,     0, 0,  8404,  8404, 0, 0,0,0,0,14
58811361072239, Log, 0.000, 0.001, 0.000, 0.000,   8752,  11166,    821, 0, 0,0.006, 0,0,  9000,    729, 5778,    821,   1470,     0,     0, 0,  8551,  8551, 0, 0,0,0,0,14
