timestamp,scan_id,num_points,quant_bits,comp_level,raw_size_bytes,compressed_size_bytes,encode_time_s,bits_per_scan,bits_per_second
2025-06-26 19:01:41,1,19800,8,0,237600,8522,0.013119,68176,681760.0
2025-06-26 19:01:41,1,19800,8,3,237600,8522,0.013435,68176,681760.0
2025-06-26 19:01:41,1,19800,8,6,237600,8522,0.013291,68176,681760.0
2025-06-26 19:01:42,1,19800,8,9,237600,8522,0.016156,68176,681760.0
2025-06-26 19:01:42,1,19800,12,0,237600,32451,0.015961,259608,2596080.0
2025-06-26 19:01:42,1,19800,12,3,237600,32451,0.015668,259608,2596080.0
2025-06-26 19:01:42,1,19800,12,6,237600,32096,0.018446,256768,2567680.0
2025-06-26 19:01:42,1,19800,12,9,237600,31955,0.016500,255640,2556400.0
2025-06-26 19:01:42,1,19800,16,0,237600,63688,0.017460,509504,5095040.0
2025-06-26 19:01:42,1,19800,16,3,237600,63688,0.017720,509504,5095040.0
2025-06-26 19:01:42,1,19800,16,6,237600,63688,0.017797,509504,5095040.0
2025-06-26 19:01:42,1,19800,16,9,237600,63688,0.015139,509504,5095040.0
2025-06-26 19:01:42,1,19800,20,0,237600,93312,0.022204,746496,7464960.0
2025-06-26 19:01:42,1,19800,20,3,237600,93312,0.020652,746496,7464960.0
2025-06-26 19:01:42,1,19800,20,6,237600,93312,0.017624,746496,7464960.0
2025-06-26 19:01:42,1,19800,20,9,237600,93312,0.019817,746496,7464960.0
2025-06-26 19:01:42,1,19800,24,0,237600,122969,0.108405,983752,9837520.0
2025-06-26 19:01:42,1,19800,24,3,237600,122969,0.099952,983752,9837520.0
2025-06-26 19:01:42,1,19800,24,6,237600,122969,0.100129,983752,9837520.0
2025-06-26 19:01:42,1,19800,24,9,237600,122969,0.103897,983752,9837520.0
2025-06-26 19:01:42,2,19680,8,0,236160,8498,0.009445,67984,679840.0
2025-06-26 19:01:42,2,19680,8,3,236160,8498,0.009523,67984,679840.0
2025-06-26 19:01:42,2,19680,8,6,236160,8498,0.009216,67984,679840.0
2025-06-26 19:01:42,2,19680,8,9,236160,8498,0.009581,67984,679840.0
2025-06-26 19:01:42,2,19680,12,0,236160,32214,0.009940,257712,2577120.0
2025-06-26 19:01:42,2,19680,12,3,236160,32214,0.010026,257712,2577120.0
2025-06-26 19:01:42,2,19680,12,6,236160,31867,0.010125,254936,2549360.0
2025-06-26 19:01:42,2,19680,12,9,236160,31734,0.009891,253872,2538720.0
2025-06-26 19:01:42,2,19680,16,0,236160,63267,0.012803,506136,5061360.0
2025-06-26 19:01:42,2,19680,16,3,236160,63267,0.013010,506136,5061360.0
2025-06-26 19:01:42,2,19680,16,6,236160,63267,0.013106,506136,5061360.0
2025-06-26 19:01:42,2,19680,16,9,236160,63267,0.013094,506136,5061360.0
2025-06-26 19:01:42,2,19680,20,0,236160,92713,0.020173,741704,7417040.0
2025-06-26 19:01:42,2,19680,20,3,236160,92713,0.019699,741704,7417040.0
2025-06-26 19:01:42,2,19680,20,6,236160,92713,0.020125,741704,7417040.0
2025-06-26 19:01:42,2,19680,20,9,236160,92713,0.019014,741704,7417040.0
2025-06-26 19:01:43,2,19680,24,0,236160,122192,0.116961,977536,9775360.0
2025-06-26 19:01:43,2,19680,24,3,236160,122192,0.105116,977536,9775360.0
2025-06-26 19:01:43,2,19680,24,6,236160,122192,0.092978,977536,9775360.0
2025-06-26 19:01:43,2,19680,24,9,236160,122192,0.106304,977536,9775360.0
2025-06-26 19:01:43,3,19800,8,0,237600,8952,0.012424,71616,716160.0
2025-06-26 19:01:43,3,19800,8,3,237600,8952,0.010271,71616,716160.0
2025-06-26 19:01:43,3,19800,8,6,237600,8952,0.009558,71616,716160.0
2025-06-26 19:01:43,3,19800,8,9,237600,8952,0.009367,71616,716160.0
2025-06-26 19:01:43,3,19800,12,0,237600,32440,0.009686,259520,2595200.0
2025-06-26 19:01:43,3,19800,12,3,237600,32440,0.009670,259520,2595200.0
2025-06-26 19:01:43,3,19800,12,6,237600,32087,0.010028,256696,2566960.0
2025-06-26 19:01:43,3,19800,12,9,237600,31941,0.010415,255528,2555280.0
2025-06-26 19:01:43,3,19800,16,0,237600,63657,0.013175,509256,5092560.0
2025-06-26 19:01:43,3,19800,16,3,237600,63657,0.013356,509256,5092560.0
2025-06-26 19:01:43,3,19800,16,6,237600,63657,0.014137,509256,5092560.0
2025-06-26 19:01:43,3,19800,16,9,237600,63657,0.015317,509256,5092560.0
2025-06-26 19:01:43,3,19800,20,0,237600,93280,0.019633,746240,7462400.0
2025-06-26 19:01:43,3,19800,20,3,237600,93280,0.020371,746240,7462400.0
2025-06-26 19:01:43,3,19800,20,6,237600,93280,0.017275,746240,7462400.0
2025-06-26 19:01:43,3,19800,20,9,237600,93280,0.016972,746240,7462400.0
2025-06-26 19:01:43,3,19800,24,0,237600,122933,0.094186,983464,9834640.0
2025-06-26 19:01:43,3,19800,24,3,237600,122933,0.102089,983464,9834640.0
