timestamp,scan_id,num_points,quant_bits,comp_level,raw_size_bytes,compressed_size_bytes,encode_time_s,bits_per_scan,bits_per_second
2025-10-10 11:34:34,1,32185,8,0,386220,5570,0.014461,44560,445600.0
2025-10-10 11:34:34,1,32185,8,1,386220,5570,0.005710,44560,445600.0
2025-10-10 11:34:34,1,32185,8,2,386220,5570,0.006034,44560,445600.0
2025-10-10 11:34:34,1,32185,8,3,386220,5570,0.005603,44560,445600.0
2025-10-10 11:34:34,1,32185,8,4,386220,5570,0.005607,44560,445600.0
2025-10-10 11:34:34,1,32185,8,5,386220,5570,0.006737,44560,445600.0
2025-10-10 11:34:34,1,32185,8,6,386220,5570,0.008265,44560,445600.0
2025-10-10 11:34:34,1,32185,8,7,386220,5570,0.007412,44560,445600.0
2025-10-10 11:34:34,1,32185,8,8,386220,5570,0.006405,44560,445600.0
2025-10-10 11:34:34,1,32185,8,9,386220,5570,0.007260,44560,445600.0
2025-10-10 11:34:34,1,32185,9,0,386220,8562,0.008065,68496,684960.0
2025-10-10 11:34:34,1,32185,9,1,386220,8562,0.005402,68496,684960.0
2025-10-10 11:34:34,1,32185,9,2,386220,8562,0.005288,68496,684960.0
2025-10-10 11:34:34,1,32185,9,3,386220,8562,0.005558,68496,684960.0
2025-10-10 11:34:34,1,32185,9,4,386220,8562,0.007565,68496,684960.0
2025-10-10 11:34:34,1,32185,9,5,386220,8562,0.006145,68496,684960.0
2025-10-10 11:34:34,1,32185,9,6,386220,8562,0.006539,68496,684960.0
2025-10-10 11:34:34,1,32185,9,7,386220,8562,0.005674,68496,684960.0
2025-10-10 11:34:34,1,32185,9,8,386220,8562,0.005554,68496,684960.0
2025-10-10 11:34:34,1,32185,9,9,386220,8562,0.008375,68496,684960.0
2025-10-10 11:34:34,1,32185,10,0,386220,12697,0.005461,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,1,386220,12697,0.006591,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,2,386220,12697,0.007092,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,3,386220,12697,0.010004,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,4,386220,12697,0.007301,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,5,386220,12697,0.006188,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,6,386220,12697,0.005641,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,7,386220,12697,0.008642,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,8,386220,12697,0.007137,101576,1015760.0
2025-10-10 11:34:34,1,32185,10,9,386220,12697,0.006436,101576,1015760.0
2025-10-10 11:34:34,1,32185,11,0,386220,18391,0.006524,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,1,386220,18391,0.006064,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,2,386220,18391,0.006840,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,3,386220,18391,0.008471,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,4,386220,18391,0.006400,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,5,386220,18391,0.006258,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,6,386220,18391,0.008527,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,7,386220,18391,0.007998,147128,1471280.0
2025-10-10 11:34:34,1,32185,11,8,386220,18161,0.006346,145288,1452880.0
2025-10-10 11:34:34,1,32185,11,9,386220,18161,0.005961,145288,1452880.0
2025-10-10 11:34:34,1,32185,12,0,386220,26158,0.007221,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,1,386220,26158,0.007117,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,2,386220,26158,0.006405,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,3,386220,26158,0.005997,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,4,386220,26158,0.005976,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,5,386220,26158,0.007423,209264,2092640.0
2025-10-10 11:34:34,1,32185,12,6,386220,25792,0.006746,206336,2063360.0
2025-10-10 11:34:34,1,32185,12,7,386220,25792,0.006156,206336,2063360.0
2025-10-10 11:34:34,1,32185,12,8,386220,25595,0.006936,204760,2047600.0
2025-10-10 11:34:34,1,32185,12,9,386220,25595,0.006445,204760,2047600.0
2025-10-10 11:34:34,1,32185,13,0,386220,35942,0.006461,287536,2875360.0
2025-10-10 11:34:34,1,32185,13,1,386220,35942,0.006687,287536,2875360.0
2025-10-10 11:34:34,1,32185,13,2,386220,35942,0.006090,287536,2875360.0
2025-10-10 11:34:34,1,32185,13,3,386220,35942,0.005724,287536,2875360.0
2025-10-10 11:34:34,1,32185,13,4,386220,35942,0.007128,287536,2875360.0
2025-10-10 11:34:34,1,32185,13,5,386220,35942,0.006654,287536,2875360.0
2025-10-10 11:34:35,1,32185,13,6,386220,35330,0.006633,282640,2826400.0
2025-10-10 11:34:35,1,32185,13,7,386220,35330,0.006079,282640,2826400.0
2025-10-10 11:34:35,1,32185,13,8,386220,35031,0.006918,280248,2802480.0
2025-10-10 11:34:35,1,32185,13,9,386220,35031,0.008475,280248,2802480.0
2025-10-10 11:34:35,1,32185,14,0,386220,47629,0.005729,381032,3810320.0
2025-10-10 11:34:35,1,32185,14,1,386220,47629,0.006192,381032,3810320.0
2025-10-10 11:34:35,1,32185,14,2,386220,47629,0.009446,381032,3810320.0
2025-10-10 11:34:35,1,32185,14,3,386220,47629,0.009426,381032,3810320.0
2025-10-10 11:34:35,1,32185,14,4,386220,46580,0.005892,372640,3726400.0
2025-10-10 11:34:35,1,32185,14,5,386220,46580,0.005871,372640,3726400.0
2025-10-10 11:34:35,1,32185,14,6,386220,46087,0.006031,368696,3686960.0
2025-10-10 11:34:35,1,32185,14,7,386220,46087,0.008355,368696,3686960.0
2025-10-10 11:34:35,1,32185,14,8,386220,46066,0.007396,368528,3685280.0
2025-10-10 11:34:35,1,32185,14,9,386220,46066,0.005893,368528,3685280.0
2025-10-10 11:34:35,1,32185,15,0,386220,58981,0.006599,471848,4718480.0
2025-10-10 11:34:35,1,32185,15,1,386220,58981,0.006987,471848,4718480.0
2025-10-10 11:34:35,1,32185,15,2,386220,58981,0.008031,471848,4718480.0
2025-10-10 11:34:35,1,32185,15,3,386220,58981,0.006457,471848,4718480.0
2025-10-10 11:34:35,1,32185,15,4,386220,58035,0.006454,464280,4642800.0
2025-10-10 11:34:35,1,32185,15,5,386220,58035,0.007593,464280,4642800.0
2025-10-10 11:34:35,1,32185,15,6,386220,57989,0.009380,463912,4639120.0
2025-10-10 11:34:35,1,32185,15,7,386220,57989,0.006452,463912,4639120.0
2025-10-10 11:34:35,1,32185,15,8,386220,58036,0.006481,464288,4642880.0
2025-10-10 11:34:35,1,32185,15,9,386220,58036,0.006860,464288,4642880.0
2025-10-10 11:34:35,1,32185,16,0,386220,72304,0.010503,578432,5784320.0
2025-10-10 11:34:35,1,32185,16,1,386220,72304,0.007179,578432,5784320.0
2025-10-10 11:34:35,1,32185,16,2,386220,72304,0.007731,578432,5784320.0
2025-10-10 11:34:35,1,32185,16,3,386220,72304,0.009086,578432,5784320.0
2025-10-10 11:34:35,1,32185,16,4,386220,70727,0.008634,565816,5658160.0
2025-10-10 11:34:35,1,32185,16,5,386220,70727,0.006992,565816,5658160.0
2025-10-10 11:34:35,1,32185,16,6,386220,70639,0.006807,565112,5651120.0
2025-10-10 11:34:35,1,32185,16,7,386220,70639,0.010548,565112,5651120.0
2025-10-10 11:34:35,1,32185,16,8,386220,70700,0.008333,565600,5656000.0
2025-10-10 11:34:35,1,32185,16,9,386220,70700,0.007224,565600,5656000.0
2025-10-10 11:34:35,1,32185,17,0,386220,84413,0.009430,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,1,386220,84413,0.010816,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,2,386220,84413,0.007645,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,3,386220,84413,0.008371,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,4,386220,84413,0.009554,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,5,386220,84413,0.008092,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,6,386220,84413,0.007247,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,7,386220,84413,0.008906,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,8,386220,84413,0.008784,675304,6753040.0
2025-10-10 11:34:35,1,32185,17,9,386220,84413,0.008449,675304,6753040.0
2025-10-10 11:34:35,1,32185,18,0,386220,96467,0.008260,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,1,386220,96467,0.009696,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,2,386220,96467,0.010064,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,3,386220,96467,0.008011,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,4,386220,96467,0.009308,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,5,386220,96467,0.009651,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,6,386220,96467,0.008615,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,7,386220,96467,0.010150,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,8,386220,96467,0.008564,771736,7717360.0
2025-10-10 11:34:35,1,32185,18,9,386220,96467,0.010004,771736,7717360.0
2025-10-10 11:34:35,1,32185,19,0,386220,108547,0.011504,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,1,386220,108547,0.010409,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,2,386220,108547,0.008205,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,3,386220,108547,0.009651,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,4,386220,108547,0.010934,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,5,386220,108547,0.007423,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,6,386220,108547,0.008405,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,7,386220,108547,0.012887,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,8,386220,108547,0.008166,868376,8683760.0
2025-10-10 11:34:35,1,32185,19,9,386220,108547,0.008016,868376,8683760.0
2025-10-10 11:34:35,1,32185,20,0,386220,120625,0.015130,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,1,386220,120625,0.010550,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,2,386220,120625,0.009702,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,3,386220,120625,0.012077,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,4,386220,120625,0.008145,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,5,386220,120625,0.008850,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,6,386220,120625,0.013039,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,7,386220,120625,0.009233,965000,9650000.0
2025-10-10 11:34:35,1,32185,20,8,386220,120625,0.008696,965000,9650000.0
